标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
AI马斯克👊对战AI扎克伯格AI Talk电影版，铁笼中的AI Talk,https://www.bilibili.com/video/BV1LW4y1D7VK/,https://i1.hdslb.com/bfs/archive/51bbca2150cd011f5579a651bf11db27191e994c.jpg@672w_378h_1c_!web-search-common-cover,79.7万,589,04:43,https://space.bilibili.com/405083326,AI-Talk, · 2023-6-25
文科理科孰优孰劣？AI苏格拉底对话AI玛丽.居里,https://www.bilibili.com/video/BV1PW4y1w7qN/,https://i0.hdslb.com/bfs/archive/27d869f3c46fec5744bc68e8b1bcad9681262fd1.jpg@672w_378h_1c_!web-search-common-cover,10.1万,120,06:04,https://space.bilibili.com/405083326,AI-Talk, · 1-17
人工智能教父最新完整采访：ChatGPT的影响和潜力,https://www.bilibili.com/video/BV1rN411A7fN/,https://i2.hdslb.com/bfs/archive/b2f139366455e5448cd8ae3731dead734d4ba422.jpg@672w_378h_1c_!web-search-common-cover,5.5万,11,42:34,https://space.bilibili.com/551467217,WLuo369, · 2023-4-6
邓布利多-AItalk,https://www.bilibili.com/video/BV1Hw411a7i6/,https://i0.hdslb.com/bfs/archive/932abc4d8ecda3129e32ef8b9b0607fcf4b8aef7.jpg@672w_378h_1c_!web-search-common-cover,5.8万,174,00:26,https://space.bilibili.com/86259710,AI上书囊-ailin, · 2023-10-4
AI苏格拉底谈“大学”和“教育”的意义。上大学的目的，仅仅是为了讨生活吗？,https://www.bilibili.com/video/BV1bN411U72D/,https://i0.hdslb.com/bfs/archive/608187a8359d6d440fd14f483c75323541190b54.jpg@672w_378h_1c_!web-search-common-cover,17.6万,219,05:40,https://space.bilibili.com/405083326,AI-Talk, · 2023-7-10
Midjourney角色一致性，AI霉霉效果实测,https://www.bilibili.com/video/BV1mH4y157nE/,https://i2.hdslb.com/bfs/archive/22da5d3f2639b012ffb041ab26266f1a37222297.jpg@672w_378h_1c_!web-search-common-cover,2510,0,00:38,https://space.bilibili.com/405083326,AI-Talk, · 21小时前
"【熟肉】5分钟带你了解AI人工智能, ChatGPT背后的技术",https://www.bilibili.com/video/BV1d24y1J7ha/,https://i2.hdslb.com/bfs/archive/1b727ec92a3f943954553913d19dc0f0621aef30.jpg@672w_378h_1c_!web-search-common-cover,1147,0,04:22,https://space.bilibili.com/30250182,爱学习爱分享的Thomas, · 2023-2-25
艾伦.耶格尔 对话 利威尔.阿克曼 巴以冲突背后的战争轮回，AI Talk x 进击的巨人,https://www.bilibili.com/video/BV1KG411U7ze/,https://i2.hdslb.com/bfs/archive/1b45781e9a6dd42f80b027ad0487c6f026520c48.jpg@672w_378h_1c_!web-search-common-cover,30.1万,351,04:57,https://space.bilibili.com/405083326,AI-Talk, · 2023-10-12
梅西对话C罗 贝克汉姆 尚未发生的晚餐 足球偶像的终局对谈,https://www.bilibili.com/video/BV1Gu4y1p7aX/,https://i2.hdslb.com/bfs/archive/c7620f5d7ebe7e8b9be521e69a6b6086bcc9a56b.jpg@672w_378h_1c_!web-search-common-cover,27万,329,04:59,https://space.bilibili.com/405083326,AI-Talk, · 2023-10-19
AI原生短剧-奥本海默对话福柯+尼采，关于奥本海默的“罪与罚”，社会塑造与超人理论,https://www.bilibili.com/video/BV1Zm4y1K7K4/,https://i1.hdslb.com/bfs/archive/a8632317d86549a8231f2019aca8fb6256fae92f.jpg@672w_378h_1c_!web-search-common-cover,4.7万,36,06:41,https://space.bilibili.com/405083326,AI-Talk, · 2023-9-11
AI生成真人演讲，4步就能轻松搞定，所以AI会取代我这种短视频博主吗？,https://www.bilibili.com/video/BV1u24y1G79G/,https://i2.hdslb.com/bfs/archive/82d4864ab966010bd3d36fd8b9c1d8b4d08894c9.jpg@672w_378h_1c_!web-search-common-cover,1.4万,1,01:03,https://space.bilibili.com/52063301,软件侠何二, · 2023-3-7
AI生成“真老外”短视频，零门槛出海营销神器 _数字人 _AIGC,https://www.bilibili.com/video/BV12k4y1i7ih/,https://i2.hdslb.com/bfs/archive/09535cb4b4fc9f013f54b6ab1d6c1790a89df00e.jpg@672w_378h_1c_!web-search-common-cover,1.4万,2,01:13,https://space.bilibili.com/503558013,卢菁老师_北大AI博士后, · 2023-4-2
YouTube官宣AI创作神器，用AI生成梦幻场景，用多语言配音吸引全球观众,https://www.bilibili.com/video/BV1fw411e7py/,https://i0.hdslb.com/bfs/archive/8b93040595bd5e0a925cad2d57cb46c76dae05ba.jpg@672w_378h_1c_!web-search-common-cover,8244,1,01:01,https://space.bilibili.com/1845434732,产品君, · 2023-9-23
【ChatGPT】当你让AI扮演2077中的人工智能司机？,https://www.bilibili.com/video/BV1fK411X7Ee/,https://i0.hdslb.com/bfs/archive/51f97df2b0afd960dea6ed1d8c15b67c11333c16.jpg@672w_378h_1c_!web-search-common-cover,1464,11,02:17,https://space.bilibili.com/44925790,夏乐です, · 2022-12-7
【AI】如何用上真正的ChatGPT？建议收藏,https://www.bilibili.com/video/BV1hN4y1f7mB/,https://i0.hdslb.com/bfs/archive/2e993d50be42a1a5fe8ed2198b408e809b4be4ed.jpg@672w_378h_1c_!web-search-common-cover,668,1,02:27,https://space.bilibili.com/3546383676082474,非思可思Physics, · 2023-10-3
全网首发，第一次面对面采访AI人工智能ChatGPT“本人”。我发誓那些话真的是它自己说的！,https://www.bilibili.com/video/BV1xm4y1z7Lc/,https://i1.hdslb.com/bfs/archive/8e00d46a6635185ea64272bdc925d2c90abddc33.jpg@672w_378h_1c_!web-search-common-cover,2461,0,03:46,https://space.bilibili.com/102419610,小波的AI乱炖, · 2023-3-30
