标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
成为你自己，AI夜话祝各位女神节日快乐！,https://www.bilibili.com/video/BV1jx42127Fq/,https://i0.hdslb.com/bfs/archive/02c4b891a76dbf89cfff2f193266a81982bc6eac.jpg@672w_378h_1c_!web-search-common-cover,3934,8,02:31,https://space.bilibili.com/570352559,AI赵大师兄, · 3-7
强烈推荐关注这位漫画家的中年逆袭法则：构建系统，而非目标 | AI 夜话,https://www.bilibili.com/video/BV1ra4y1m7Ut/,https://i0.hdslb.com/bfs/archive/86ea04927c54e5677262ce5da00a512080c7138f.jpg@672w_378h_1c_!web-search-common-cover,6.1万,22,04:18,https://space.bilibili.com/570352559,AI赵大师兄, · 1-9
对话AI爱因斯坦，谈AI时代的想象力该如何培养 | AI夜话,https://www.bilibili.com/video/BV1Y34y137Dk/,https://i2.hdslb.com/bfs/archive/bbdac0b119f03500e9ee3a251c67399da15a6b6e.jpg@672w_378h_1c_!web-search-common-cover,1.2万,7,04:58,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-7
毒舌作家毛姆：人生的意义，在于寻找真正的自己 | AI夜话,https://www.bilibili.com/video/BV1ou4y1t79o/,https://i0.hdslb.com/bfs/archive/d34e74dfcaf8ef041565fb18be5473bfc884a442.jpg@672w_378h_1c_!web-search-common-cover,24.9万,112,04:19,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-16
深度拆解AI进化史，人类正在迈入全新时代！【围炉夜话】,https://www.bilibili.com/video/BV1Zz4y1x7yb/,https://i1.hdslb.com/bfs/archive/9fda9bc7a4383387ca5ec269d26fea670d86223d.jpg@672w_378h_1c_!web-search-common-cover,40.8万,4560,01:06:28,https://space.bilibili.com/79577853,智能路障, · 2023-7-29
对话AI加缪，荒诞的世界里，我们该如何获取幸福？ | AI夜话,https://www.bilibili.com/video/BV17G41127j4/,https://i0.hdslb.com/bfs/archive/f39d6b2dc144da805ccf21f508c74cb5a54a3284.jpg@672w_378h_1c_!web-search-common-cover,2.8万,37,04:30,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-19
龙年新春，我用AI复活了一代宗师李小龙，听听这位武术哲学家的生命智慧 | AI夜话,https://www.bilibili.com/video/BV1ct421Y7n8/,https://i0.hdslb.com/bfs/archive/3684e35888000662aa51dbd3fa33ffddcee46487.jpg@672w_378h_1c_!web-search-common-cover,1.1万,21,05:14,https://space.bilibili.com/570352559,AI赵大师兄, · 2-13
博尔赫斯，世界文坛巨匠，被誉为“作家中的作家”，谈他的创作思想 | AI夜话,https://www.bilibili.com/video/BV1uw411N7An/,https://i2.hdslb.com/bfs/archive/3171fce06866494e495db5409ad696e5f757514b.jpg@672w_378h_1c_!web-search-common-cover,1.9万,11,04:26,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-26
致敬查理芒格，投资界的传奇人物，永远的智慧灯塔 | AI夜话,https://www.bilibili.com/video/BV1C64y177sW/,https://i2.hdslb.com/bfs/archive/589de82a88d1bdd8f96dca71935a0ff011dddf00.jpg@672w_378h_1c_!web-search-common-cover,1.9万,11,05:51,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-29
对话阿兰·德波顿，谈艺术何以疗愈人心 | AI夜话,https://www.bilibili.com/video/BV1Au4y1J7XZ/,https://i1.hdslb.com/bfs/archive/e769e37aa6eb7831b66ba10fe374063394314bda.jpg@672w_378h_1c_!web-search-common-cover,4804,1,05:10,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-30
个人修行如何助力事业成功与人生幸福？听听这位僧人兼商人的答案 | AI夜话,https://www.bilibili.com/video/BV1mC4y167cj/,https://i0.hdslb.com/bfs/archive/a5236c31657f565c876f60749cc7e7abb03c4eac.jpg@672w_378h_1c_!web-search-common-cover,8217,1,05:51,https://space.bilibili.com/570352559,AI赵大师兄, · 1-29
对话AI梵高，谈AI对艺术的冲击，艺术家与艺术 | AI夜话,https://www.bilibili.com/video/BV1j84y1Z73P/,https://i2.hdslb.com/bfs/archive/2a862d7c2ec1f13b2719234a90623588c99fcd94.jpg@672w_378h_1c_!web-search-common-cover,5628,4,04:37,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-22
