标题,标题链接,图片,播放,弹幕,视频时长,作者主页,作者,时间
AI芭比对话AI奥本海默 关于父权、凝视与社会规训 芭本海默的化学反应,https://www.bilibili.com/video/BV1uu4y1z7Zx/,https://i2.hdslb.com/bfs/archive/227b075dea2dee124c2925ef8a92488b57ce9b4f.jpg@672w_378h_1c_!web-search-common-cover,32.3万,311,4:43,https://space.bilibili.com/405083326,AI-Talk, · 2023-8-10
无敏感词无限制的AI对话软件出现了，到底有多好玩，试了才知道,https://www.bilibili.com/video/BV1dS421N7Ys/,https://i2.hdslb.com/bfs/archive/ffb41c5e9daa96757309ed075cb5a61b2b5debbd.jpg@672w_378h_1c_!web-search-common-cover,4.1万,11,0:51,https://space.bilibili.com/499831967,贫僧法号玄葬, · 2-14
与AI对话：人为什么要上班？它居然这样回答！！！,https://www.bilibili.com/video/BV1rW421c798/,https://i1.hdslb.com/bfs/archive/9e0b617be0abed2d9f0e9273c22acf2bda11f6a1.jpg@672w_378h_1c_!web-search-common-cover,146,0,1:14,https://space.bilibili.com/552352801,两脚兽自救指南, · 3-10
一起来看看ChatGPT4.0的语音对话，高情商高智商，最后的回答笑翻了！,https://www.bilibili.com/video/BV1EN4y1y7ZQ/,https://i1.hdslb.com/bfs/archive/9944b6d3aa742aab30bfaf2fa076c9d6d7a24b4d.jpg@672w_378h_1c_!web-search-common-cover,2万,10,1:41,https://space.bilibili.com/3461562780093208,恒沙数字, · 2023-10-12
�� ChatGPT4开口说话！最新【AI语音对话】功能吊打Siri，保姆级GPT4手机端使用教程演示，教你利用voice智能语音输入拥有免费顶级英语口语私教,https://www.bilibili.com/video/BV1Tm4y1V7i6/,https://i0.hdslb.com/bfs/archive/59d0f47cdbc9346e01a68ff0cc7744f75130a3a9.jpg@672w_378h_1c_!web-search-common-cover,8.1万,22,4:11,https://space.bilibili.com/3546386144430156,暗夜飞行_77, · 2023-9-30
对话AI爱因斯坦，谈AI时代的想象力该如何培养 | AI夜话,https://www.bilibili.com/video/BV1Y34y137Dk/,https://i2.hdslb.com/bfs/archive/bbdac0b119f03500e9ee3a251c67399da15a6b6e.jpg@672w_378h_1c_!web-search-common-cover,1.2万,7,4:58,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-7
我们做了个能对话的AI派蒙，免费给大家玩！,https://www.bilibili.com/video/BV1bm4y117ba/,https://i1.hdslb.com/bfs/archive/a6fd9a25c3a272940b703a50da837d5bf37647ce.jpg@672w_378h_1c_!web-search-common-cover,128.8万,4528,20:26,https://space.bilibili.com/25876945,极客湾Geekerwan, · 2023-4-30
体验Gpt4.0语音对话！这语音和语气你觉得还是Ai对话？有思考，有想法。,https://www.bilibili.com/video/BV1j84y1Q7jf/,https://i0.hdslb.com/bfs/archive/3ef7ea1482fef38cd6f0876b21b70d0de48a8f9a.jpg@672w_378h_1c_!web-search-common-cover,1796,0,3:25,https://space.bilibili.com/690988040,阿家学长, · 2023-11-4
与AI的一次对话,https://www.bilibili.com/video/BV1GM4y1q79w/,https://i2.hdslb.com/bfs/archive/60f65b54fdec18f4cf97c687f24eff3f125556a3.jpg@672w_378h_1c_!web-search-common-cover,3.3万,62,6:13,https://space.bilibili.com/21355708,ByteEncounter, · 2023-5-20
娱乐向: 两个AI约会啦*-*,https://www.bilibili.com/video/BV1qh4y1i7SF/,https://i1.hdslb.com/bfs/archive/3794cf05b4db8e9cbc7cc72d5e228fd27bb54638.jpg@672w_378h_1c_!web-search-common-cover,21.5万,180,1:47,https://space.bilibili.com/442454826,新竹AI, · 2023-10-26
